Source,Target,Polarity
adenylatekinase__Perceptron,MTOR__1,negative
docosahexaenoicacid,MTOR__2,negative
AKT1__Perceptron,MTOR__2,positive
glutamine__Perceptron,MTOR__2,positive
RasGTPase__Perceptron,MTOR__2,positive
metformin,MTOR__2,negative
TGFB1__Perceptron,MTOR__2,positive
NOTCH1__Perceptron,MTOR__3,positive
E2F1__Perceptron,MTOR__3,positive
receptorprotein-tyrosinekinase__Perceptron,MTOR__3,positive
histonedeacetylase__Perceptron,MTOR__3,positive
TP53__Perceptron,MTOR__3,negative
AMPK__Perceptron,MTOR__3,negative
SLC1A5,MTOR__4,positive
hypoxia,MTOR__4,positive
PARP1__Perceptron,MTOR__4,negative
EGFR__Perceptron,MTOR__4,positive
AURKB,MTOR__4,positive
IFNARligand,MTOR__5,positive
ERBB2__Perceptron,MTOR__5,positive
SLC2A1__Perceptron,MTOR__5,positive
BRAF__Perceptron,MTOR__5,positive
phenformin,MTOR__5,negative
MTOR__5,MTOR__Perceptron,NaN
MTOR__4,MTOR__Perceptron,NaN
MTOR__2,MTOR__Perceptron,NaN
MTOR__1,MTOR__Perceptron,NaN
MTOR__3,MTOR__Perceptron,NaN
BRCA1,MYC__1,negative
E2F1__Perceptron,MYC__1,positive
HMGCR,MYC__1,positive
TP53__Perceptron,MYC__1,negative
KLF4,MYC__2,unknown
E2F,MYC__2,positive
EGFR__Perceptron,MYC__2,positive
MYC__2,MYC__Perceptron,NaN
MYC__1,MYC__Perceptron,NaN
PARP1__Perceptron,NAD+__1,negative
AMPK__Perceptron,NAD+__1,positive
glucose__Perceptron,NAD+__1,positive
NH3__Perceptron,NAD+__1,positive
oxygen__Perceptron,NAD+__2,positive
ATP__Perceptron,NAD+__2,positive
NADH__Perceptron,NAD+__2,positive
NAD+__1,NAD+__Perceptron,NaN
NAD+__2,NAD+__Perceptron,NaN
aceticacid__Perceptron,NADH__1,positive
NADPH__Perceptron,NADH__1,positive
coenzymeA,NADH__1,positive
succinate__Perceptron,NADH__1,positive
glutamate__Perceptron,NADH__1,positive
pyruvate__Perceptron,NADH__2,positive
malate,NADH__2,positive
formicacid,NADH__2,positive
acetyl-CoA__Perceptron,NADH__2,positive
NAD+__Perceptron,NADH__3,positive
alpha-ketoglutarate__Perceptron,NADH__3,positive
pyruvatedehydrogenase(acetyl-transferring)__Perceptron,NADH__3,positive
glucose__Perceptron,NADH__3,positive
NADH__2,NADH__Perceptron,NaN
NADH__3,NADH__Perceptron,NaN
NADH__1,NADH__Perceptron,NaN
ADP,NADHdehydrogenase(ubiquinone)__1,negative
metformin,NADHdehydrogenase(ubiquinone)__1,negative
oxygen__Perceptron,NADHdehydrogenase(ubiquinone)__1,negative
ROS__Perceptron,NADHdehydrogenase(ubiquinone)__1,negative
cytochromecoxidase__Perceptron,NADHdehydrogenase(ubiquinone)__2,negative
NADH__Perceptron,NADHdehydrogenase(ubiquinone)__2,negative
phenformin,NADHdehydrogenase(ubiquinone)__2,negative
succinatedehydrogenase(ubiquinone)__Perceptron,NADHdehydrogenase(ubiquinone)__2,negative
NADHdehydrogenase(ubiquinone)__1,NADHdehydrogenase(ubiquinone)__Perceptron,NaN
NADHdehydrogenase(ubiquinone)__2,NADHdehydrogenase(ubiquinone)__Perceptron,NaN
isocitrate,NADPH__1,positive
ATP__Perceptron,NADPH__1,positive
NADH__Perceptron,NADPH__1,positive
glutamate__Perceptron,NADPH__1,positive
Pi,NADPH__1,positive
aceticacid__Perceptron,NADPH__1,positive
lactate__Perceptron,NADPH__2,positive
NADP+,NADPH__2,positive
glutamine__Perceptron,NADPH__2,positive
pyruvate__Perceptron,NADPH__2,positive
acetyl-CoA__Perceptron,NADPH__2,positive
citrate__Perceptron,NADPH__2,positive
hypoxia,NADPH__3,positive
NFE2L2__Perceptron,NADPH__3,positive
alpha-ketoglutarate__Perceptron,NADPH__3,positive
pyruvatedehydrogenase(acetyl-transferring)__Perceptron,NADPH__3,positive
malate,NADPH__3,positive
dehydroepiandrosterone,NADPH__3,negative
AMPK__Perceptron,NADPH__4,positive
PGD,NADPH__4,positive
IDH1,NADPH__4,positive
glucose__Perceptron,NADPH__4,positive
ROS__Perceptron,NADPH__4,positive
NAD+__Perceptron,NADPH__4,positive
NADPH__4,NADPH__Perceptron,NaN
NADPH__3,NADPH__Perceptron,NaN
NADPH__2,NADPH__Perceptron,NaN
NADPH__1,NADPH__Perceptron,NaN
EGFR__Perceptron,NFE2L2__1,positive
aceticacid__Perceptron,NFE2L2__1,positive
proteintyrosinekinase__Perceptron,NFE2L2__1,positive
BRAF__Perceptron,NFE2L2__1,positive
PI3K__Perceptron,NFE2L2__1,positive
MTOR__Perceptron,NFE2L2__1,positive
ROS__Perceptron,NFE2L2__2,positive
MYC__Perceptron,NFE2L2__2,positive
PPARG__Perceptron,NFE2L2__2,positive
fumarate,NFE2L2__2,positive
AKT1__Perceptron,NFE2L2__2,positive
BRCA1,NFE2L2__2,positive
PRKCD__Perceptron,NFE2L2__3,positive
MAPK14__Perceptron,NFE2L2__3,positive
PARP1__Perceptron,NFE2L2__3,positive
docosahexaenoicacid,NFE2L2__3,positive
AMPK__Perceptron,NFE2L2__3,positive
NFE2L2__1,NFE2L2__Perceptron,NaN
NFE2L2__3,NFE2L2__Perceptron,NaN
NFE2L2__2,NFE2L2__Perceptron,NaN
TNF__Perceptron,NH3__1,positive
glutamate__Perceptron,NH3__1,positive
glycine,NH3__1,positive
hypoxia,NH3__1,negative
glutamine__Perceptron,NH3__2,positive
H+__Perceptron,NH3__2,positive
lactate__Perceptron,NH3__2,negative
NH3__2,NH3__Perceptron,NaN
NH3__1,NH3__Perceptron,NaN
HIF-1__Perceptron,NOTCH1__1,positive
IFNG__Perceptron,NOTCH1__1,negative
KRAS,NOTCH1__1,positive
MTOR__Perceptron,NOTCH1__1,positive
hypoxia,NOTCH1__2,positive
IL6__Perceptron,NOTCH1__2,positive
MDM2__Perceptron,NOTCH1__2,positive
NFE2L2__Perceptron,NOTCH1__2,positive
NOTCH1__2,NOTCH1__Perceptron,NaN
NOTCH1__1,NOTCH1__Perceptron,NaN
ADP,PARP1__1,positive
ROS__Perceptron,PARP1__1,positive
BRCA1,PARP1__1,negative
glutamate__Perceptron,PARP1__1,positive
NAD+__Perceptron,PARP1__1,negative
IFNG__Perceptron,PARP1__1,positive
TNF__Perceptron,PARP1__2,positive
pyruvate__Perceptron,PARP1__2,negative
histonedeacetylase__Perceptron,PARP1__2,negative
ATP__Perceptron,PARP1__2,negative
IL6__Perceptron,PARP1__2,positive
EGFR__Perceptron,PARP1__2,positive
PARP1__1,PARP1__Perceptron,NaN
PARP1__2,PARP1__Perceptron,NaN
ATP__Perceptron,PFKFB3,negative
citrate__Perceptron,PFKFB3,negative
hypoxia,PFKFB3,positive
NADPH__Perceptron,PGD,negative
TP53__Perceptron,PHGDH,negative
lactate__Perceptron,PI3K__1,positive
IFNG__Perceptron,PI3K__1,positive
ATP__Perceptron,PI3K__1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,PI3K__1,positive
receptorprotein-tyrosinekinase__Perceptron,PI3K__1,positive
ERBB2__Perceptron,PI3K__1,positive
glucose__Perceptron,PI3K__2,positive
ROS__Perceptron,PI3K__2,positive
IL1B__Perceptron,PI3K__2,positive
BRAF__Perceptron,PI3K__2,negative
oxygen__Perceptron,PI3K__2,positive
acetylcholine__Perceptron,PI3K__2,positive
hypoxia,PI3K__3,positive
dehydroepiandrosterone,PI3K__3,positive
IL6__Perceptron,PI3K__3,positive
ADP,PI3K__3,positive
TNF__Perceptron,PI3K__3,positive
PPARG__Perceptron,PI3K__3,positive
TORC1__Perceptron,PI3K__4,negative
KRAS,PI3K__4,positive
IFNARligand,PI3K__4,positive
EGFR__Perceptron,PI3K__4,positive
AKT1__Perceptron,PI3K__4,positive
RasGTPase__Perceptron,PI3K__4,positive
PI3K__1,PI3K__Perceptron,NaN
PI3K__2,PI3K__Perceptron,NaN
PI3K__3,PI3K__Perceptron,NaN
PI3K__4,PI3K__Perceptron,NaN
proteintyrosinekinase__Perceptron,PIK3CA,positive
receptorprotein-tyrosinekinase__Perceptron,PIK3CA,positive
RasGTPase__Perceptron,PIK3CA,positive
KRAS,PIK3CA,positive
EGFR__Perceptron,PIK3CA,positive
ADP,PKM,negative
EGFR__Perceptron,PKM,positive
HIF-1__Perceptron,PKM,positive
hypoxia,PKM,positive
MYC__Perceptron,PKM,positive
ROS__Perceptron,PKM,negative
hypoxia,PPARG__1,negative
MYC__Perceptron,PPARG__1,negative
SREBF1__Perceptron,PPARG__1,positive
FASN,PPARG__1,positive
docosahexaenoicacid,PPARG__1,positive
aceticacid__Perceptron,PPARG__1,positive
glucose__Perceptron,PPARG__2,positive
cysteine,PPARG__2,positive
KLF4,PPARG__2,positive
phospholipid__Perceptron,PPARG__2,positive
EGFR__Perceptron,PPARG__2,positive
PPARG__1,PPARG__Perceptron,NaN
PPARG__2,PPARG__Perceptron,NaN
TGFB1__Perceptron,PPi,positive
ATP__Perceptron,PPi,positive
Pi,PPi,positive
IFNG__Perceptron,PRKCD__1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,PRKCD__1,positive
docosahexaenoicacid,PRKCD__1,positive
PPARG__Perceptron,PRKCD__1,positive
hypoxia,PRKCD__1,positive
IL6__Perceptron,PRKCD__1,positive
ROS__Perceptron,PRKCD__2,positive
PI3K__Perceptron,PRKCD__2,positive
EGFR__Perceptron,PRKCD__2,positive
IFNARligand,PRKCD__2,positive
ATP__Perceptron,PRKCD__2,positive
IL1B__Perceptron,PRKCD__2,positive
PRKCD__1,PRKCD__Perceptron,NaN
PRKCD__2,PRKCD__Perceptron,NaN
MTOR__Perceptron,Pentose-phosphateshunt__1,positive
ascorbicacid,Pentose-phosphateshunt__1,positive
TORC1__Perceptron,Pentose-phosphateshunt__1,positive
dehydroepiandrosterone,Pentose-phosphateshunt__1,negative
oxygen__Perceptron,Pentose-phosphateshunt__1,positive
pyruvate__Perceptron,Pentose-phosphateshunt__2,positive
ATP__Perceptron,Pentose-phosphateshunt__2,positive
glucose__Perceptron,Pentose-phosphateshunt__2,positive
NFE2L2__Perceptron,Pentose-phosphateshunt__2,positive
Pentose-phosphateshunt__1,Pentose-phosphateshunt__Perceptron,NaN
Pentose-phosphateshunt__2,Pentose-phosphateshunt__Perceptron,NaN
aceticacid__Perceptron,Pi,positive
ATP__Perceptron,Pi,positive
glucose__Perceptron,Pi,positive
oxygen__Perceptron,Pi,positive
glucose__Perceptron,ROS__1,positive
oxygen__Perceptron,ROS__1,positive
MYC__Perceptron,ROS__1,positive
IL1B__Perceptron,ROS__1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,ROS__1,positive
RasGTPase__Perceptron,ROS__1,positive
PARP1__Perceptron,ROS__2,positive
glutamate__Perceptron,ROS__2,positive
IL6__Perceptron,ROS__2,positive
succinate__Perceptron,ROS__2,positive
acetaldehyde,ROS__2,positive
NADHdehydrogenase(ubiquinone)__Perceptron,ROS__2,positive
phospholipid__Perceptron,ROS__3,positive
KRAS,ROS__3,positive
NADP+,ROS__3,positive
glycine,ROS__3,negative
succinatedehydrogenase(ubiquinone)__Perceptron,ROS__3,positive
aceticacid__Perceptron,ROS__3,positive
histonedeacetylase__Perceptron,ROS__4,negative
lactate__Perceptron,ROS__4,positive
TGFB1__Perceptron,ROS__4,positive
AMPK__Perceptron,ROS__4,negative
PI3K__Perceptron,ROS__4,positive
NADPH__Perceptron,ROS__4,positive
TNF__Perceptron,ROS__5,positive
PPARG__Perceptron,ROS__5,negative
ascorbicacid,ROS__5,negative
malate,ROS__5,negative
NFE2L2__Perceptron,ROS__5,negative
hypoxia,ROS__5,positive
NH3__Perceptron,ROS__6,positive
TP53__Perceptron,ROS__6,positive
MAPK14__Perceptron,ROS__6,positive
BCL2__Perceptron,ROS__6,negative
PRKCD__Perceptron,ROS__6,positive
IDH2,ROS__6,negative
dehydroepiandrosterone,ROS__7,negative
ubiquinol-cytochromecreductase,ROS__7,positive
IFNG__Perceptron,ROS__7,positive
MTOR__Perceptron,ROS__7,positive
NOTCH1__Perceptron,ROS__7,negative
proteintyrosinekinase__Perceptron,ROS__7,positive
ROS__7,ROS__Perceptron,NaN
ROS__5,ROS__Perceptron,NaN
ROS__4,ROS__Perceptron,NaN
ROS__6,ROS__Perceptron,NaN
ROS__2,ROS__Perceptron,NaN
ROS__1,ROS__Perceptron,NaN
ROS__3,ROS__Perceptron,NaN
ERBB2__Perceptron,RasGTPase__1,positive
ABL1__Perceptron,RasGTPase__1,positive
TNF__Perceptron,RasGTPase__1,positive
docosahexaenoicacid,RasGTPase__1,negative
receptorprotein-tyrosinekinase__Perceptron,RasGTPase__1,positive
PI3K__Perceptron,RasGTPase__1,positive
ROS__Perceptron,RasGTPase__2,positive
PRKCD__Perceptron,RasGTPase__2,positive
ATP__Perceptron,RasGTPase__2,positive
HMGCR,RasGTPase__2,positive
E2F,RasGTPase__2,negative
EGFR__Perceptron,RasGTPase__3,positive
proteintyrosinekinase__Perceptron,RasGTPase__3,positive
cysteine,RasGTPase__3,positive
TGFB1__Perceptron,RasGTPase__3,positive
IL6__Perceptron,RasGTPase__3,positive
RasGTPase__3,RasGTPase__Perceptron,NaN
RasGTPase__2,RasGTPase__Perceptron,NaN
RasGTPase__1,RasGTPase__Perceptron,NaN
ATP__Perceptron,ReplicationfactorA,positive
CHEK2,ReplicationfactorA,negative
TP53BP1,ReplicationfactorA,negative
AKT1__Perceptron,SLC2A1__1,positive
MYC__Perceptron,SLC2A1__1,positive
BRAF__Perceptron,SLC2A1__1,negative
glutamate__Perceptron,SLC2A1__1,positive
hypoxia,SLC2A1__2,positive
PI3K__Perceptron,SLC2A1__2,positive
ATP__Perceptron,SLC2A1__2,negative
glucose__Perceptron,SLC2A1__2,negative
SLC2A1__1,SLC2A1__Perceptron,NaN
SLC2A1__2,SLC2A1__Perceptron,NaN
aceticacid__Perceptron,SREBF1__1,negative
docosahexaenoicacid,SREBF1__1,negative
PPARG__Perceptron,SREBF1__1,positive
TGFB1__Perceptron,SREBF1__1,positive
AMPK__Perceptron,SREBF1__2,negative
hypoxia,SREBF1__2,positive
ROS__Perceptron,SREBF1__2,positive
SREBF1__2,SREBF1__Perceptron,NaN
SREBF1__1,SREBF1__Perceptron,NaN
PI3K__Perceptron,SREBF2,positive
AKT1__Perceptron,SREBF2,positive
AKT1__Perceptron,STK11__1,negative
ATP__Perceptron,STK11__1,positive
metformin,STK11__1,positive
ROS__Perceptron,STK11__1,positive
AMP,STK11__2,positive
BRAF__Perceptron,STK11__2,negative
phenformin,STK11__2,positive
STK11__1,STK11__Perceptron,NaN
STK11__2,STK11__Perceptron,NaN
MRNcomplex,Sphasecellcyclecheckpoint__1,positive
ReplicationfactorA,Sphasecellcyclecheckpoint__1,positive
E2F1__Perceptron,Sphasecellcyclecheckpoint__1,positive
CHEK1__Perceptron,Sphasecellcyclecheckpoint__1,positive
FANCD2,Sphasecellcyclecheckpoint__2,positive
RAD9A,Sphasecellcyclecheckpoint__2,positive
TP53__Perceptron,Sphasecellcyclecheckpoint__2,positive
CHEK2,Sphasecellcyclecheckpoint__2,positive
Sphasecellcyclecheckpoint__1,Sphasecellcyclecheckpoint__Perceptron,NaN
Sphasecellcyclecheckpoint__2,Sphasecellcyclecheckpoint__Perceptron,NaN
TNF__Perceptron,TGFB1__1,positive
IL1B__Perceptron,TGFB1__1,positive
NFE2L2__Perceptron,TGFB1__1,negative
aceticacid__Perceptron,TGFB1__1,positive
HIF-1__Perceptron,TGFB1__1,positive
hypoxia,TGFB1__2,positive
glucose__Perceptron,TGFB1__2,positive
metformin,TGFB1__2,negative
ROS__Perceptron,TGFB1__2,positive
TGFB1__1,TGFB1__Perceptron,NaN
TGFB1__2,TGFB1__Perceptron,NaN
histonedeacetylase__Perceptron,TNF__1,positive
choline,TNF__1,negative
IL1B__Perceptron,TNF__1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,TNF__1,positive
PPARG__Perceptron,TNF__1,negative
glucosamine,TNF__1,negative
PRKCD__Perceptron,TNF__2,positive
glucose__Perceptron,TNF__2,positive
MAPK14__Perceptron,TNF__2,positive
HMGCR,TNF__2,positive
acetaldehyde,TNF__2,positive
CO2__Perceptron,TNF__2,negative
cysteine,TNF__3,negative
glutamate__Perceptron,TNF__3,positive
proteintyrosinekinase__Perceptron,TNF__3,positive
acetylcholine__Perceptron,TNF__3,negative
hypoxia,TNF__3,positive
MYC__Perceptron,TNF__3,positive
dehydroepiandrosterone,TNF__4,positive
NFE2L2__Perceptron,TNF__4,negative
AKT1__Perceptron,TNF__4,positive
ROS__Perceptron,TNF__4,positive
IFNARligand,TNF__4,positive
glutamine__Perceptron,TNF__4,negative
IFNG__Perceptron,TNF__5,positive
PI3K__Perceptron,TNF__5,positive
docosahexaenoicacid,TNF__5,negative
glycine,TNF__5,negative
ATP__Perceptron,TNF__5,positive
TP53__Perceptron,TNF__5,positive
TNF__4,TNF__Perceptron,NaN
TNF__3,TNF__Perceptron,NaN
TNF__5,TNF__Perceptron,NaN
TNF__1,TNF__Perceptron,NaN
TNF__2,TNF__Perceptron,NaN
adenylatekinase__Perceptron,TORC1__1,negative
TP53__Perceptron,TORC1__1,negative
GAPDH__Perceptron,TORC1__1,negative
receptorprotein-tyrosinekinase__Perceptron,TORC1__1,positive
IL6__Perceptron,TORC1__1,negative
oxygen__Perceptron,TORC1__1,positive
MAPK14__Perceptron,TORC1__2,positive
AKT1__Perceptron,TORC1__2,positive
SLC1A5,TORC1__2,positive
glucose__Perceptron,TORC1__2,positive
phenformin,TORC1__2,negative
SLC2A1__Perceptron,TORC1__3,positive
PI3K__Perceptron,TORC1__3,positive
metformin,TORC1__3,negative
alpha-ketoglutarate__Perceptron,TORC1__3,positive
HIF-1__Perceptron,TORC1__3,negative
MTOR__Perceptron,TORC1__4,positive
HK2,TORC1__4,negative
PKM,TORC1__4,positive
TGFB1__Perceptron,TORC1__4,positive
AMP,TORC1__4,negative
NOTCH1__Perceptron,TORC1__5,positive
TNF__Perceptron,TORC1__5,positive
RasGTPase__Perceptron,TORC1__5,positive
IFNG__Perceptron,TORC1__5,positive
E2F1__Perceptron,TORC1__5,positive
TORC1__1,TORC1__Perceptron,NaN
TORC1__2,TORC1__Perceptron,NaN
TORC1__3,TORC1__Perceptron,NaN
TORC1__4,TORC1__Perceptron,NaN
TORC1__5,TORC1__Perceptron,NaN
SREBF2,TP53__1,positive
NADPH__Perceptron,TP53__1,positive
MTOR__Perceptron,TP53__1,negative
hypoxia,TP53__1,positive
BCL2__Perceptron,TP53__1,negative
CDKN2A,TP53__1,positive
CHEK1__Perceptron,TP53__2,positive
STK11__Perceptron,TP53__2,positive
IL6__Perceptron,TP53__2,negative
BRCA1,TP53__2,positive
MYC__Perceptron,TP53__2,positive
PARP1__Perceptron,TP53__2,positive
CHEK2,TP53__3,positive
TYMS,TP53__3,negative
MAPK14__Perceptron,TP53__3,positive
BRD4,TP53__3,positive
NAD+__Perceptron,TP53__3,negative
Pi,TP53__3,positive
ROS__Perceptron,TP53__4,positive
BUB1B,TP53__4,negative
MDM2__Perceptron,TP53__4,unknown
E2F,TP53__4,positive
NADH__Perceptron,TP53__4,positive
TP53__1,TP53__Perceptron,NaN
TP53__2,TP53__Perceptron,NaN
TP53__3,TP53__Perceptron,NaN
TP53__4,TP53__Perceptron,NaN
AURKA,TP73,negative
E2F1__Perceptron,TP73,positive
MTOR__Perceptron,TP73,negative
ROS__Perceptron,TP73,positive
TNF__Perceptron,TP73,positive
TP53__Perceptron,TP73,positive
hypoxia,TYMS,negative
"5,10-methylenetetrahydrofolate",TYMS,negative
E2F1__Perceptron,TYMS,positive
acetyl-CoA__Perceptron,Tricarboxylicacidcycle__1,positive
aspartate,Tricarboxylicacidcycle__1,positive
ROS__Perceptron,Tricarboxylicacidcycle__1,negative
glycine,Tricarboxylicacidcycle__1,negative
isocitrate,Tricarboxylicacidcycle__1,negative
NAD+__Perceptron,Tricarboxylicacidcycle__1,positive
metformin,Tricarboxylicacidcycle__2,negative
ADP,Tricarboxylicacidcycle__2,positive
fumarate,Tricarboxylicacidcycle__2,positive
H+-transportingtwo-sectorATPase__Perceptron,Tricarboxylicacidcycle__2,positive
NADH__Perceptron,Tricarboxylicacidcycle__2,negative
pyruvate__Perceptron,Tricarboxylicacidcycle__3,positive
glutamine__Perceptron,Tricarboxylicacidcycle__3,positive
HIF-1__Perceptron,Tricarboxylicacidcycle__3,negative
AMPK__Perceptron,Tricarboxylicacidcycle__3,positive
MYC__Perceptron,Tricarboxylicacidcycle__3,positive
Tricarboxylicacidcycle__1,Tricarboxylicacidcycle__Perceptron,NaN
Tricarboxylicacidcycle__2,Tricarboxylicacidcycle__Perceptron,NaN
Tricarboxylicacidcycle__3,Tricarboxylicacidcycle__Perceptron,NaN
oxygen__Perceptron,acetaldehyde,positive
acetylcholine__Perceptron,aceticacid__1,positive
acetyl-CoAhydrolase,aceticacid__1,positive
pyruvate__Perceptron,aceticacid__1,positive
glucose__Perceptron,aceticacid__1,positive
oxygen__Perceptron,aceticacid__1,positive
Pi,aceticacid__2,positive
succinate__Perceptron,aceticacid__2,positive
acetyl-CoA__Perceptron,aceticacid__2,positive
CO2__Perceptron,aceticacid__2,positive
NAD+__Perceptron,aceticacid__2,positive
aceticacid__1,aceticacid__Perceptron,NaN
aceticacid__2,aceticacid__Perceptron,NaN
aceticacid__Perceptron,acetyl-CoA__1,positive
AMPK__Perceptron,acetyl-CoA__1,negative
citrate__Perceptron,acetyl-CoA__1,positive
glucose__Perceptron,acetyl-CoA__1,positive
MYC__Perceptron,acetyl-CoA__1,positive
AKT1__Perceptron,acetyl-CoA__2,positive
ATP__Perceptron,acetyl-CoA__2,positive
coenzymeA,acetyl-CoA__2,positive
glutamine__Perceptron,acetyl-CoA__2,positive
pyruvate__Perceptron,acetyl-CoA__2,positive
acetyl-CoA__1,acetyl-CoA__Perceptron,NaN
acetyl-CoA__2,acetyl-CoA__Perceptron,NaN
ATP__Perceptron,acetyl-CoAhydrolase,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,acetylcholine__1,negative
acetyl-CoA__Perceptron,acetylcholine__1,positive
choline,acetylcholine__1,positive
glutamate__Perceptron,acetylcholine__1,positive
IL1B__Perceptron,acetylcholine__1,negative
pyruvatedehydrogenase(acetyl-transferring)__Perceptron,acetylcholine__1,positive
aceticacid__Perceptron,acetylcholine__2,positive
ACLY,acetylcholine__2,positive
glucose__Perceptron,acetylcholine__2,positive
glycine,acetylcholine__2,positive
IL6__Perceptron,acetylcholine__2,negative
acetylcholine__1,acetylcholine__Perceptron,NaN
acetylcholine__2,acetylcholine__Perceptron,NaN
aceticacid__Perceptron,acetylphosphate,positive
ROS__Perceptron,adenylatekinase__1,positive
IL6__Perceptron,adenylatekinase__1,positive
AMP,adenylatekinase__1,positive
ADP,adenylatekinase__1,positive
ATP__Perceptron,adenylatekinase__2,positive
AKT1__Perceptron,adenylatekinase__2,negative
metformin,adenylatekinase__2,positive
TP53__Perceptron,adenylatekinase__2,positive
adenylatekinase__1,adenylatekinase__Perceptron,NaN
adenylatekinase__2,adenylatekinase__Perceptron,NaN
glucose__Perceptron,aldehydedehydrogenase(NAD+),negative
acetaldehyde,aldehydedehydrogenase(NAD+),negative
pyruvate__Perceptron,alpha-ketoglutarate__1,positive
ascorbicacid,alpha-ketoglutarate__1,negative
glutamate__Perceptron,alpha-ketoglutarate__1,positive
NADH__Perceptron,alpha-ketoglutarate__1,positive
glucose__Perceptron,alpha-ketoglutarate__2,positive
glutamine__Perceptron,alpha-ketoglutarate__2,positive
oxaloacetate,alpha-ketoglutarate__2,positive
alpha-ketoglutarate__2,alpha-ketoglutarate__Perceptron,NaN
alpha-ketoglutarate__1,alpha-ketoglutarate__Perceptron,NaN
ABL1__Perceptron,apoptosis__1,positive
NH3__Perceptron,apoptosis__1,positive
IFNG__Perceptron,apoptosis__1,positive
ERBB2__Perceptron,apoptosis__1,negative
RAD9A,apoptosis__1,positive
BRAF__Perceptron,apoptosis__1,negative
metformin,apoptosis__10,positive
H+__Perceptron,apoptosis__10,positive
Pi,apoptosis__10,positive
succinatedehydrogenase(ubiquinone)__Perceptron,apoptosis__10,positive
AMP,apoptosis__10,positive
CO2__Perceptron,apoptosis__10,positive
MRNcomplex,apoptosis__11,positive
H2AFX,apoptosis__11,positive
PI3K__Perceptron,apoptosis__11,negative
CPT1A,apoptosis__11,negative
TGFB1__Perceptron,apoptosis__11,positive
aspartate,apoptosis__11,positive
PIK3CA,apoptosis__12,negative
HIF-1__Perceptron,apoptosis__12,positive
ATM/ATR,apoptosis__12,positive
dehydroepiandrosterone,apoptosis__12,negative
TNF__Perceptron,apoptosis__12,positive
MTOR__Perceptron,apoptosis__12,negative
TP53__Perceptron,apoptosis__13,positive
PKM,apoptosis__13,negative
ATP__Perceptron,apoptosis__13,positive
DHFR,apoptosis__13,negative
MYC__Perceptron,apoptosis__13,positive
histonedeacetylase__Perceptron,apoptosis__13,negative
HK2,apoptosis__14,negative
NADH__Perceptron,apoptosis__14,negative
PPARG__Perceptron,apoptosis__14,positive
docosahexaenoicacid,apoptosis__14,positive
AURKA,apoptosis__14,negative
TP53BP1,apoptosis__14,positive
HMGCR,apoptosis__15,negative
E2F,apoptosis__15,positive
NADHdehydrogenase(ubiquinone)__Perceptron,apoptosis__15,negative
PPi,apoptosis__15,positive
TP73,apoptosis__15,positive
AURKB,apoptosis__15,negative
TYMS,apoptosis__16,negative
IDH2,apoptosis__16,negative
BCL11A,apoptosis__16,negative
NADPH__Perceptron,apoptosis__16,negative
E2F1__Perceptron,apoptosis__16,positive
PRKCD__Perceptron,apoptosis__16,positive
EGFR__Perceptron,apoptosis__17,negative
IFNARligand,apoptosis__17,positive
pyruvate__Perceptron,apoptosis__17,negative
BCL2__Perceptron,apoptosis__17,negative
NFE2L2__Perceptron,apoptosis__17,negative
FANCD2,apoptosis__2,negative
IGFBP7,apoptosis__2,positive
BRCA1,apoptosis__2,positive
receptorprotein-tyrosinekinase__Perceptron,apoptosis__2,negative
NOTCH1__Perceptron,apoptosis__2,negative
ACACA__Perceptron,apoptosis__2,negative
BRD4,apoptosis__3,negative
ReplicationfactorA,apoptosis__3,negative
FASN,apoptosis__3,negative
ornithine,apoptosis__3,negative
IL1B__Perceptron,apoptosis__3,positive
acetaldehyde,apoptosis__3,positive
ribonucleoside-diphosphatereductase,apoptosis__4,negative
oxygen__Perceptron,apoptosis__4,positive
IL6__Perceptron,apoptosis__4,negative
BUB1B,apoptosis__4,positive
formicacid,apoptosis__4,positive
aceticacid__Perceptron,apoptosis__4,positive
CCNB1,apoptosis__5,positive
KLF4,apoptosis__5,positive
PARP1__Perceptron,apoptosis__5,positive
glucosamine,apoptosis__5,positive
acetylcholine__Perceptron,apoptosis__5,negative
ROS__Perceptron,apoptosis__5,positive
CDK4/6,apoptosis__6,negative
glucose__Perceptron,apoptosis__6,positive
SLC2A1__Perceptron,apoptosis__6,negative
ACHE__Perceptron,apoptosis__6,positive
PFKFB3,apoptosis__6,negative
LDHA,apoptosis__6,negative
phenformin,apoptosis__7,positive
CDKN2A,apoptosis__7,positive
malate,apoptosis__7,negative
SMARCB1,apoptosis__7,positive
ACLY,apoptosis__7,negative
glutamate__Perceptron,apoptosis__7,positive
AKT1__Perceptron,apoptosis__8,negative
SREBF2,apoptosis__8,positive
MAPK14__Perceptron,apoptosis__8,positive
CHEK1__Perceptron,apoptosis__8,negative
glutamine__Perceptron,apoptosis__8,negative
