Source,Target,Polarity
NOTCH1,IL6,positive
oxygen,IL6,positive
PI3K,IL6,positive
PPARG,IL6,negative
proteintyrosinekinase,IL6,positive
RasGTPase,IL6,positive
ROS,IL6,positive
TGFB1,IL6,positive
TNF,IL6,positive
TP53,IL6,negative
glucose,isocitrate,negative
histonedeacetylase,KLF4,negative
hypoxia,KLF4,negative
PPARG,KLF4,positive
PRKCD,KLF4,positive
IL6,KRAS,positive
metformin,KRAS,negative
receptorprotein-tyrosinekinase,KRAS,positive
acetylcholine,lactate,positive
ADP,lactate,positive
AKT1,lactate,positive
alpha-ketoglutarate,lactate,positive
ATP,lactate,positive
citrate,lactate,negative
CO2,lactate,positive
cytochromecoxidase,lactate,positive
EGFR,lactate,positive
glucose,lactate,positive
glutamate,lactate,positive
glutamine,lactate,positive
H+,lactate,positive
HIF-1,lactate,positive
HK2,lactate,positive
hypoxia,lactate,positive
IL1B,lactate,positive
IL6,lactate,positive
malate,lactate,negative
MTOR,lactate,positive
MYC,lactate,positive
NAD+,lactate,positive
NADH,lactate,positive
NADPH,lactate,positive
NH3,lactate,positive
oxygen,lactate,positive
PFKFB3,lactate,positive
Pi,lactate,positive
PI3K,lactate,positive
PKM,lactate,positive
PPARG,lactate,positive
pyruvate,lactate,positive
RasGTPase,lactate,positive
SLC2A1,lactate,positive
TGFB1,lactate,positive
TNF,lactate,positive
hypoxia,LDHA,positive
MYC,LDHA,positive
NADH,LDHA,negative
aspartate,lysine,positive
NADPH,lysine,positive
CO2,malate,positive
glutamate,malate,positive
NADH,malate,positive
oxaloacetate,malate,positive
pyruvate,malate,positive
succinate,malate,positive
fumarate,malatedehydrogenase(oxaloacetate-decarboxylating),positive
acetyl-CoA,malatedehydrogenase(oxaloacetate-decarboxylating)(NADP+),negative
ATP,malatedehydrogenase(oxaloacetate-decarboxylating)(NADP+),negative
fumarate,malatedehydrogenase(oxaloacetate-decarboxylating)(NADP+),positive
SREBF1,malatedehydrogenase(oxaloacetate-decarboxylating)(NADP+),positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,MAPK14,positive
acetaldehyde,MAPK14,positive
ADP,MAPK14,positive
AMP,MAPK14,positive
ATP,MAPK14,positive
BRCA1,MAPK14,negative
CHEK1,MAPK14,positive
docosahexaenoicacid,MAPK14,negative
EGFR,MAPK14,positive
ERBB2,MAPK14,positive
glucosamine,MAPK14,negative
glucose,MAPK14,positive
hypoxia,MAPK14,positive
IFNARligand,MAPK14,positive
IFNG,MAPK14,positive
IL6,MAPK14,positive
KLF4,MAPK14,positive
KRAS,MAPK14,positive
oxygen,MAPK14,positive
PARP1,MAPK14,positive
PI3K,MAPK14,positive
proteintyrosinekinase,MAPK14,positive
RasGTPase,MAPK14,positive
receptorprotein-tyrosinekinase,MAPK14,positive
ROS,MAPK14,positive
TP53,MAPK14,positive
IL1B,MAPK14,positive
AKT1,MDM2,positive
CDKN2A,MDM2,negative
CHEK2,MDM2,negative
histonedeacetylase,MDM2,positive
hypoxia,MDM2,positive
NFE2L2,MDM2,positive
PI3K,MDM2,positive
TP53,MDM2,positive
TP73,MDM2,positive
AURKA,mitoticspindlecheckpoint,negative
AURKB,mitoticspindlecheckpoint,positive
BRCA1,mitoticspindlecheckpoint,positive
BUB1B,mitoticspindlecheckpoint,positive
CDK1,mitoticspindlecheckpoint,positive
CHEK2,mitoticspindlecheckpoint,positive
MAPK14,mitoticspindlecheckpoint,positive
MYC,mitoticspindlecheckpoint,negative
lactate,monocarboxylatetransporter,negative
adenylatekinase,MTOR,negative
AKT1,MTOR,positive
AMPK,MTOR,negative
AURKB,MTOR,positive
BRAF,MTOR,positive
CDK1,MTOR,positive
docosahexaenoicacid,MTOR,negative
E2F1,MTOR,positive
EGFR,MTOR,positive
ERBB2,MTOR,positive
glucose,MTOR,positive
glutamine,MTOR,positive
histonedeacetylase,MTOR,positive
hypoxia,MTOR,positive
IFNARligand,MTOR,positive
IL1B,MTOR,positive
metformin,MTOR,negative
NOTCH1,MTOR,positive
PARP1,MTOR,negative
phenformin,MTOR,negative
PRKCD,MTOR,positive
RasGTPase,MTOR,positive
receptorprotein-tyrosinekinase,MTOR,positive
SLC1A5,MTOR,positive
SLC2A1,MTOR,positive
STK11,MTOR,negative
TGFB1,MTOR,positive
TP53,MTOR,negative
BRCA1,MYC,negative
E2F,MYC,positive
E2F1,MYC,positive
EGFR,MYC,positive
HMGCR,MYC,positive
KLF4,MYC,unknown
TP53,MYC,negative
AMPK,NAD+,positive
ATP,NAD+,positive
glucose,NAD+,positive
NADH,NAD+,positive
NH3,NAD+,positive
oxygen,NAD+,positive
PARP1,NAD+,negative
aceticacid,NADH,positive
acetyl-CoA,NADH,positive
alpha-ketoglutarate,NADH,positive
coenzymeA,NADH,positive
formicacid,NADH,positive
glucose,NADH,positive
glutamate,NADH,positive
malate,NADH,positive
NAD+,NADH,positive
NADPH,NADH,positive
pyruvate,NADH,positive
pyruvatedehydrogenase(acetyl-transferring),NADH,positive
succinate,NADH,positive
ADP,NADHdehydrogenase(ubiquinone),negative
cytochromecoxidase,NADHdehydrogenase(ubiquinone),negative
metformin,NADHdehydrogenase(ubiquinone),negative
NADH,NADHdehydrogenase(ubiquinone),negative
oxygen,NADHdehydrogenase(ubiquinone),negative
phenformin,NADHdehydrogenase(ubiquinone),negative
ROS,NADHdehydrogenase(ubiquinone),negative
succinatedehydrogenase(ubiquinone),NADHdehydrogenase(ubiquinone),negative
aceticacid,NADPH,positive
acetyl-CoA,NADPH,positive
alpha-ketoglutarate,NADPH,positive
AMPK,NADPH,positive
ATP,NADPH,positive
citrate,NADPH,positive
dehydroepiandrosterone,NADPH,negative
glucose,NADPH,positive
glutamate,NADPH,positive
glutamine,NADPH,positive
hypoxia,NADPH,positive
IDH1,NADPH,positive
isocitrate,NADPH,positive
lactate,NADPH,positive
malate,NADPH,positive
NAD+,NADPH,positive
NADH,NADPH,positive
NADP+,NADPH,positive
NFE2L2,NADPH,positive
PGD,NADPH,positive
Pi,NADPH,positive
pyruvate,NADPH,positive
pyruvatedehydrogenase(acetyl-transferring),NADPH,positive
ROS,NADPH,positive
aceticacid,NFE2L2,positive
AKT1,NFE2L2,positive
AMPK,NFE2L2,positive
BRAF,NFE2L2,positive
BRCA1,NFE2L2,positive
docosahexaenoicacid,NFE2L2,positive
EGFR,NFE2L2,positive
fumarate,NFE2L2,positive
MAPK14,NFE2L2,positive
MTOR,NFE2L2,positive
MYC,NFE2L2,positive
PARP1,NFE2L2,positive
PI3K,NFE2L2,positive
PPARG,NFE2L2,positive
PRKCD,NFE2L2,positive
proteintyrosinekinase,NFE2L2,positive
ROS,NFE2L2,positive
glutamate,NH3,positive
glutamine,NH3,positive
glycine,NH3,positive
H+,NH3,positive
hypoxia,NH3,negative
lactate,NH3,negative
TNF,NH3,positive
AKT1,non-smallcelllungcancer,negative
CDKN2A,non-smallcelllungcancer,negative
H+,non-smallcelllungcancer,negative
IL6,non-smallcelllungcancer,positive
KRAS,non-smallcelllungcancer,positive
metformin,non-smallcelllungcancer,negative
MYC,non-smallcelllungcancer,positive
phenformin,non-smallcelllungcancer,positive
PI3K,non-smallcelllungcancer,positive
PPARG,non-smallcelllungcancer,negative
proteintyrosinekinase,non-smallcelllungcancer,negative
TGFB1,non-smallcelllungcancer,positive
TNF,non-smallcelllungcancer,positive
HIF-1,NOTCH1,positive
hypoxia,NOTCH1,positive
IFNG,NOTCH1,negative
IL6,NOTCH1,positive
KRAS,NOTCH1,positive
MDM2,NOTCH1,positive
MTOR,NOTCH1,positive
NFE2L2,NOTCH1,positive
glutamate,ornithine,positive
NADPH,ornithine,positive
aspartate,oxaloacetate,positive
citrate,oxaloacetate,positive
pyruvate,oxaloacetate,positive
ADP,oxygen,positive
ATP,oxygen,positive
BCL2,oxygen,positive
CO2,oxygen,positive
glucose,oxygen,positive
HIF-1,oxygen,positive
IFNG,oxygen,positive
IL1B,oxygen,positive
lactate,oxygen,positive
NADH,oxygen,positive
NADPH,oxygen,positive
Pi,oxygen,positive
ROS,oxygen,positive
succinate,oxygen,positive
succinatedehydrogenase(ubiquinone),oxygen,negative
TNF,oxygen,positive
ADP,PARP1,positive
ATP,PARP1,negative
BRCA1,PARP1,negative
EGFR,PARP1,positive
glutamate,PARP1,positive
histonedeacetylase,PARP1,negative
IFNG,PARP1,positive
IL6,PARP1,positive
NAD+,PARP1,negative
pyruvate,PARP1,negative
ROS,PARP1,positive
TNF,PARP1,positive
ascorbicacid,Pentose-phosphateshunt,positive
ATP,Pentose-phosphateshunt,positive
dehydroepiandrosterone,Pentose-phosphateshunt,negative
glucose,Pentose-phosphateshunt,positive
MTOR,Pentose-phosphateshunt,positive
NFE2L2,Pentose-phosphateshunt,positive
oxygen,Pentose-phosphateshunt,positive
pyruvate,Pentose-phosphateshunt,positive
TORC1,Pentose-phosphateshunt,positive
ATP,PFKFB3,negative
citrate,PFKFB3,negative
hypoxia,PFKFB3,positive
NADPH,PGD,negative
TP53,PHGDH,negative
ATP,phosphocholine,positive
choline,phosphocholine,positive
TNF,phosphocholine,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,phospholipid,negative
acetylcholine,phospholipid,positive
ATP,phospholipid,positive
choline,phospholipid,positive
hypoxia,phospholipid,negative
Pi,phospholipid,positive
SREBF1,phospholipid,positive
aceticacid,Pi,positive
ATP,Pi,positive
glucose,Pi,positive
oxygen,Pi,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,PI3K,positive
acetylcholine,PI3K,positive
ADP,PI3K,positive
AKT1,PI3K,positive
ATP,PI3K,positive
BRAF,PI3K,negative
dehydroepiandrosterone,PI3K,positive
EGFR,PI3K,positive
ERBB2,PI3K,positive
glucose,PI3K,positive
hypoxia,PI3K,positive
IFNARligand,PI3K,positive
IFNG,PI3K,positive
IL1B,PI3K,positive
IL6,PI3K,positive
KRAS,PI3K,positive
lactate,PI3K,positive
oxygen,PI3K,positive
PPARG,PI3K,positive
RasGTPase,PI3K,positive
receptorprotein-tyrosinekinase,PI3K,positive
ROS,PI3K,positive
TNF,PI3K,positive
TORC1,PI3K,negative
EGFR,PIK3CA,positive
KRAS,PIK3CA,positive
proteintyrosinekinase,PIK3CA,positive
RasGTPase,PIK3CA,positive
receptorprotein-tyrosinekinase,PIK3CA,positive
ADP,PKM,negative
EGFR,PKM,positive
HIF-1,PKM,positive
hypoxia,PKM,positive
MYC,PKM,positive
ROS,PKM,negative
aceticacid,PPARG,positive
cysteine,PPARG,positive
docosahexaenoicacid,PPARG,positive
EGFR,PPARG,positive
FASN,PPARG,positive
glucose,PPARG,positive
hypoxia,PPARG,negative
KLF4,PPARG,positive
MYC,PPARG,negative
phospholipid,PPARG,positive
SREBF1,PPARG,positive
ATP,PPi,positive
Pi,PPi,positive
TGFB1,PPi,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,PRKCD,positive
ATP,PRKCD,positive
docosahexaenoicacid,PRKCD,positive
EGFR,PRKCD,positive
hypoxia,PRKCD,positive
IFNARligand,PRKCD,positive
IFNG,PRKCD,positive
IL1B,PRKCD,positive
IL6,PRKCD,positive
PI3K,PRKCD,positive
PPARG,PRKCD,positive
ROS,PRKCD,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,proteintyrosinekinase,positive
ABL1,proteintyrosinekinase,positive
CHEK1,proteintyrosinekinase,positive
glucose,proteintyrosinekinase,negative
IFNARligand,proteintyrosinekinase,positive
IFNG,proteintyrosinekinase,positive
IL1B,proteintyrosinekinase,positive
IL6,proteintyrosinekinase,positive
metformin,proteintyrosinekinase,positive
Pi,proteintyrosinekinase,negative
PRKCD,proteintyrosinekinase,positive
receptorprotein-tyrosinekinase,proteintyrosinekinase,positive
ROS,proteintyrosinekinase,positive
TGFB1,proteintyrosinekinase,positive
TNF,proteintyrosinekinase,positive
ADP,pyruvate,positive
alpha-ketoglutarate,pyruvate,positive
ATP,pyruvate,positive
coenzymeA,pyruvate,negative
GAPDH,pyruvate,positive
glucose,pyruvate,positive
glutamate,pyruvate,positive
HIF-1,pyruvate,negative
lactate,pyruvate,positive
malate,pyruvate,positive
NAD+,pyruvate,positive
NADH,pyruvate,positive
oxaloacetate,pyruvate,positive
acetyl-CoA,pyruvatedehydrogenase(acetyl-transferring),negative
AMPK,pyruvatedehydrogenase(acetyl-transferring),positive
ATP,pyruvatedehydrogenase(acetyl-transferring),negative
citrate,pyruvatedehydrogenase(acetyl-transferring),negative
coenzymeA,pyruvatedehydrogenase(acetyl-transferring),negative
HIF-1,pyruvatedehydrogenase(acetyl-transferring),negative
IL6,pyruvatedehydrogenase(acetyl-transferring),negative
NAD+,pyruvatedehydrogenase(acetyl-transferring),negative
NADH,pyruvatedehydrogenase(acetyl-transferring),negative
NH3,pyruvatedehydrogenase(acetyl-transferring),negative
oxygen,pyruvatedehydrogenase(acetyl-transferring),positive
pyruvate,pyruvatedehydrogenase(acetyl-transferring),positive
ROS,pyruvatedehydrogenase(acetyl-transferring),negative
TNF,pyruvatedehydrogenase(acetyl-transferring),negative
ABL1,RasGTPase,positive
ATP,RasGTPase,positive
cysteine,RasGTPase,positive
docosahexaenoicacid,RasGTPase,negative
E2F,RasGTPase,negative
EGFR,RasGTPase,positive
ERBB2,RasGTPase,positive
HMGCR,RasGTPase,positive
IL6,RasGTPase,positive
PI3K,RasGTPase,positive
PRKCD,RasGTPase,positive
proteintyrosinekinase,RasGTPase,positive
receptorprotein-tyrosinekinase,RasGTPase,positive
ROS,RasGTPase,positive
TGFB1,RasGTPase,positive
TNF,RasGTPase,positive
ATP,receptorprotein-tyrosinekinase,negative
EGFR,receptorprotein-tyrosinekinase,positive
ERBB2,receptorprotein-tyrosinekinase,positive
hypoxia,receptorprotein-tyrosinekinase,positive
KRAS,receptorprotein-tyrosinekinase,positive
MTOR,receptorprotein-tyrosinekinase,negative
proteintyrosinekinase,receptorprotein-tyrosinekinase,positive
ROS,receptorprotein-tyrosinekinase,positive
TGFB1,receptorprotein-tyrosinekinase,positive
TNF,receptorprotein-tyrosinekinase,positive
TORC1,receptorprotein-tyrosinekinase,negative
TP53,receptorprotein-tyrosinekinase,negative
ATP,ReplicationfactorA,positive
CHEK2,ReplicationfactorA,negative
TP53BP1,ReplicationfactorA,negative
PPi,ribonucleoside-diphosphatereductase,negative
ROS,ribonucleoside-diphosphatereductase,negative
TYMS,ribonucleoside-diphosphatereductase,negative
glucose,ribose5-phosphate,positive
Pi,ribose5-phosphate,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,ROS,positive
acetaldehyde,ROS,positive
aceticacid,ROS,positive
AMPK,ROS,negative
ascorbicacid,ROS,negative
BCL2,ROS,negative
dehydroepiandrosterone,ROS,negative
glucose,ROS,positive
glutamate,ROS,positive
glycine,ROS,negative
histonedeacetylase,ROS,negative
hypoxia,ROS,positive
IDH2,ROS,negative
IFNG,ROS,positive
IL1B,ROS,positive
IL6,ROS,positive
KRAS,ROS,positive
lactate,ROS,positive
malate,ROS,negative
MAPK14,ROS,positive
MTOR,ROS,positive
MYC,ROS,positive
NADHdehydrogenase(ubiquinone),ROS,positive
NADP+,ROS,positive
NADPH,ROS,positive
NFE2L2,ROS,negative
NH3,ROS,positive
NOTCH1,ROS,negative
oxygen,ROS,positive
PARP1,ROS,positive
phospholipid,ROS,positive
PI3K,ROS,positive
PPARG,ROS,negative
PRKCD,ROS,positive
proteintyrosinekinase,ROS,positive
RasGTPase,ROS,positive
succinate,ROS,positive
succinatedehydrogenase(ubiquinone),ROS,positive
TGFB1,ROS,positive
TNF,ROS,positive
TP53,ROS,positive
ubiquinol-cytochromecreductase,ROS,positive
AKT1,SLC2A1,positive
ATP,SLC2A1,negative
BRAF,SLC2A1,negative
glucose,SLC2A1,negative
glutamate,SLC2A1,positive
hypoxia,SLC2A1,positive
MYC,SLC2A1,positive
PI3K,SLC2A1,positive
CHEK1,Sphasecellcyclecheckpoint,positive
CHEK2,Sphasecellcyclecheckpoint,positive
E2F1,Sphasecellcyclecheckpoint,positive
FANCD2,Sphasecellcyclecheckpoint,positive
MRNcomplex,Sphasecellcyclecheckpoint,positive
RAD9A,Sphasecellcyclecheckpoint,positive
ReplicationfactorA,Sphasecellcyclecheckpoint,positive
TP53,Sphasecellcyclecheckpoint,positive
aceticacid,SREBF1,negative
AMPK,SREBF1,negative
docosahexaenoicacid,SREBF1,negative
hypoxia,SREBF1,positive
PPARG,SREBF1,positive
ROS,SREBF1,positive
TGFB1,SREBF1,positive
AKT1,SREBF2,positive
PI3K,SREBF2,positive
AKT1,STK11,negative
AMP,STK11,positive
ATP,STK11,positive
BRAF,STK11,negative
metformin,STK11,positive
phenformin,STK11,positive
ROS,STK11,positive
alpha-ketoglutarate,succinate,positive
ATP,succinate,positive
CO2,succinate,positive
fumarate,succinate,positive
glucose,succinate,positive
glutamate,succinate,positive
glutamine,succinate,positive
hypoxia,succinate,positive
malate,succinate,positive
NAD+,succinate,positive
NADH,succinate,positive
oxaloacetate,succinate,positive
oxygen,succinate,positive
pyruvate,succinate,positive
ADP,succinatedehydrogenase(ubiquinone),positive
ATP,succinatedehydrogenase(ubiquinone),positive
citrate,succinatedehydrogenase(ubiquinone),negative
dehydroepiandrosterone,succinatedehydrogenase(ubiquinone),positive
NADHdehydrogenase(ubiquinone),succinatedehydrogenase(ubiquinone),negative
oxaloacetate,succinatedehydrogenase(ubiquinone),negative
oxygen,succinatedehydrogenase(ubiquinone),negative
phospholipid,succinatedehydrogenase(ubiquinone),positive
pyruvate,succinatedehydrogenase(ubiquinone),positive
ROS,succinatedehydrogenase(ubiquinone),negative
succinate,succinatedehydrogenase(ubiquinone),positive
TGFB1,succinatedehydrogenase(ubiquinone),positive
TNF,succinatedehydrogenase(ubiquinone),positive
aceticacid,TGFB1,positive
glucose,TGFB1,positive
HIF-1,TGFB1,positive
hypoxia,TGFB1,positive
IL1B,TGFB1,positive
metformin,TGFB1,negative
NFE2L2,TGFB1,negative
ROS,TGFB1,positive
TNF,TGFB1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,TNF,positive
acetaldehyde,TNF,positive
acetylcholine,TNF,negative
AKT1,TNF,positive
ATP,TNF,positive
choline,TNF,negative
CO2,TNF,negative
cysteine,TNF,negative
dehydroepiandrosterone,TNF,positive
docosahexaenoicacid,TNF,negative
glucosamine,TNF,negative
glucose,TNF,positive
glutamate,TNF,positive
glutamine,TNF,negative
glycine,TNF,negative
histonedeacetylase,TNF,positive
HMGCR,TNF,positive
hypoxia,TNF,positive
IFNARligand,TNF,positive
IFNG,TNF,positive
IL1B,TNF,positive
MAPK14,TNF,positive
MYC,TNF,positive
NFE2L2,TNF,negative
PI3K,TNF,positive
PPARG,TNF,negative
PRKCD,TNF,positive
proteintyrosinekinase,TNF,positive
ROS,TNF,positive
TP53,TNF,positive
adenylatekinase,TORC1,negative
AKT1,TORC1,positive
alpha-ketoglutarate,TORC1,positive
AMP,TORC1,negative
E2F1,TORC1,positive
GAPDH,TORC1,negative
glucose,TORC1,positive
HIF-1,TORC1,negative
HK2,TORC1,negative
IFNG,TORC1,positive
IL6,TORC1,negative
MAPK14,TORC1,positive
metformin,TORC1,negative
MTOR,TORC1,positive
NOTCH1,TORC1,positive
oxygen,TORC1,positive
phenformin,TORC1,negative
PI3K,TORC1,positive
PKM,TORC1,positive
RasGTPase,TORC1,positive
receptorprotein-tyrosinekinase,TORC1,positive
SLC1A5,TORC1,positive
SLC2A1,TORC1,positive
TGFB1,TORC1,positive
TNF,TORC1,positive
TP53,TORC1,negative
BCL2,TP53,negative
BRCA1,TP53,positive
BRD4,TP53,positive
BUB1B,TP53,negative
CDKN2A,TP53,positive
CHEK1,TP53,positive
CHEK2,TP53,positive
E2F,TP53,positive
hypoxia,TP53,positive
IL6,TP53,negative
MAPK14,TP53,positive
MDM2,TP53,unknown
MTOR,TP53,negative
MYC,TP53,positive
NAD+,TP53,negative
NADH,TP53,positive
NADPH,TP53,positive
PARP1,TP53,positive
Pi,TP53,positive
ROS,TP53,positive
SREBF2,TP53,positive
STK11,TP53,positive
TYMS,TP53,negative
AURKA,TP73,negative
E2F1,TP73,positive
MTOR,TP73,negative
ROS,TP73,positive
TNF,TP73,positive
TP53,TP73,positive
acetyl-CoA,Tricarboxylicacidcycle,positive
ADP,Tricarboxylicacidcycle,positive
AMPK,Tricarboxylicacidcycle,positive
aspartate,Tricarboxylicacidcycle,positive
fumarate,Tricarboxylicacidcycle,positive
glutamine,Tricarboxylicacidcycle,positive
glycine,Tricarboxylicacidcycle,negative
H+-transportingtwo-sectorATPase,Tricarboxylicacidcycle,positive
HIF-1,Tricarboxylicacidcycle,negative
isocitrate,Tricarboxylicacidcycle,negative
metformin,Tricarboxylicacidcycle,negative
MYC,Tricarboxylicacidcycle,positive
NAD+,Tricarboxylicacidcycle,positive
NADH,Tricarboxylicacidcycle,negative
pyruvate,Tricarboxylicacidcycle,positive
ROS,Tricarboxylicacidcycle,negative
"5,10-methylenetetrahydrofolate",TYMS,negative
E2F1,TYMS,positive
hypoxia,TYMS,negative
ascorbicacid,ubiquinol-cytochromecreductase,negative
H+-transportingtwo-sectorATPase,ubiquinol-cytochromecreductase,negative
hypoxia,ubiquinol-cytochromecreductase,positive
ROS,ubiquinol-cytochromecreductase,negative
succinate,ubiquinol-cytochromecreductase,negative
TNF,ubiquinol-cytochromecreductase,negative
